,name_comment,content_comment,skuInfo_comment,like_count
328,9***8Chứng nhận đã mua hàng,"Mình vừa nhận được hàng từ shop. Ví rất sang trọng và đẹp. Đường chỉ may rất đều và đẹp nữa thích lắm shop. Ví còn có hộp đựng, mình rất ưng luôn. Ví giống như trong ảnh. Shop rất uy tín và nhiệt tình nữa. Thanks shop nhiều nhé!",Nhóm Màu:Màu nâu đậm,0
329,Toàn L.Chứng nhận đã mua hàng,Hàng tốt !,Nhóm Màu:Màu nâu đậm,0
330,N***.Chứng nhận đã mua hàng,Cảm ơn ah,Nhóm Màu:Nâu,0
331,thiên P.Chứng nhận đã mua hàng,Đẹp và mềm vừa ý,Nhóm Màu:Nâu,0
332,Dung T.Chứng nhận đã mua hàng,Nho không bo the bao hiểm vào được,Nhóm Màu:Màu nâu đậm,0
333,Nguyễn N.Chứng nhận đã mua hàng,Mhgfsawtgczzzvv sdtgds sdtggss đtrwq styfsa dygsa. Sghfds dff,Nhóm Màu:Màu nâu đậm,0
334,Hương D.Chứng nhận đã mua hàng,"sản phẩm cũng ok, tuy nhiên hơi nhỏ.. giá cả hợp lí, giai nhanh..",Nhóm Màu:Nâu,0
335,Thanh T.Chứng nhận đã mua hàng,"chất lượng tốt ,bao gói cần thân , cổ gắng phát huy để tốt hơn",Nhóm Màu:Đen,0
336,Vy N.Chứng nhận đã mua hàng,Màu sắc:đẹp,Nhóm Màu:Nâu,0
337,Thiện T.Chứng nhận đã mua hàng,"Chất liệu:tạm được Kiểu dáng:pedro sơn phủ, giả",Nhóm Màu:Đen,0
338,Carnation S.Chứng nhận đã mua hàng,"sản phẩm phù hợp với giá. ngăn phụ chỉ để được các loại thẻ nhựa, bằng lái xe loại giấy không vừa.",Nhóm Màu:Nâu,1
339,H***.Chứng nhận đã mua hàng,"ví da mền đẹp, nhiều ngăn nhỏ,  mn nên mua. hài lòng với sp này. ok shop cho shop 5 sao. hình ảnh mang chất minh hoạ.",Nhóm Màu:Màu nâu,0
340,Nguyen T.Chứng nhận đã mua hàng,hkhgjjhgjihbchffhjv ghê hvhnvcvbbbbbbbbbbbbbbnbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,Nhóm Màu:Màu nâu,1
341,T***.Chứng nhận đã mua hàng,ko giống mẫu,Nhóm Màu:Màu đen,0
342,9***2Chứng nhận đã mua hàng,"Sản phẩm đúng như quảng cáo. Chất lượng sản phẩm tốt, đóng gói cẩn thận. Giao Hàng nhanh",Nhóm màu:Màu đen,1
